sample_ids,clean_id,sample.number,site,sample.type,date,duration,experiment,experiment.type,site.experiment,site.type
7.DeMMO1.Steri.050917,7.D1.fluid.050917,7,D1,fluid,May.2017,,fluid,fluid,D1.fluid,D1.fluid
1.DeMMO1.steri.083117,1.D1.fluid.083117,1,D1,fluid,Aug.2017,,fluid,fluid,D1.fluid,D1.fluid
1.DeMMO1.steri.113017,1.D1.fluid.113017,1,D1,fluid,Nov.2017,,fluid,fluid,D1.fluid,D1.fluid
12.DeMMO1.steri.041818,12.D1.fluid.041818,12,D1,fluid,Apr.2018,,fluid,fluid,D1.fluid,D1.fluid
NU.24.DeMMO1.D1.wool.Sep2016,24.D1.wool.Sep2016,24,D1,wool,Sep.2016,52,inert.control,inert.control,D1.inert.control,D1.inert.control
NU.25.DeMMO1.D1.sand.Sep2016,25.D1.sand.Sep2016,25,D1,sand,Sep.2016,52,inert.control,inert.control,D1.inert.control,D1.inert.control
1.DeMMO1.Steri.021517,1.D1.fluid.021517,1,D1,fluid,Feb.2017,,fluid,fluid,D1.fluid,D1.fluid
20.DeMMO1.A.top.041818,20.D1.pyrolusite.041818,20,D1,pyrolusite,Apr.2018,139,mineral,pyrolusite,D1.pyrolusite,D1.mineral
22.DeMMO1.C.top.041818,22.D1.pyrite.041818,22,D1,pyrite,Apr.2018,139,mineral,pyrite,D1.pyrite,D1.mineral
23.DeMMO1.D.top.041818,23.D1.hematite.041818,23,D1,hematite,Apr.2018,139,mineral,hematite,D1.hematite,D1.mineral
24.DeMMO1.E.top.041818,24.D1.magnetite.041818,24,D1,magnetite,Apr.2018,139,mineral,magnetite,D1.magnetite,D1.mineral
26.DeMMO1.SC1.top.041818,26.D1.pyrolusite.041818,26,D1,pyrolusite,Apr.2018,230,mineral,pyrolusite,D1.pyrolusite,D1.mineral
27.DeMMO1.SC2.top.041818,27.D1.siderite.041818,27,D1,siderite,Apr.2018,230,mineral,siderite,D1.siderite,D1.mineral
28.DeMMO1.SC3.top.041818,28.D1.pyrite.041818,28,D1,pyrite,Apr.2018,230,mineral,pyrite,D1.pyrite,D1.mineral
29.DeMMO1.SC4.top.041818,29.D1.hematite.041818,29,D1,hematite,Apr.2018,230,mineral,hematite,D1.hematite,D1.mineral
30.DeMMO1.SC5.top.041818,30.D1.magnetite.041818,30,D1,magnetite,Apr.2018,230,mineral,magnetite,D1.magnetite,D1.mineral
31.DeMMO1.SC7.top.041818,31.D1.3mmPyrex.041818,31,D1,3mmPyrex,Apr.2018,230,inert.control,inert.control,D1.inert.control,D1.inert.control
32.DeMMO1.SC8.top.041818,32.D1.5mmPyrex.041818,32,D1,5mmPyrex,Apr.2018,230,inert.control,inert.control,D1.inert.control,D1.inert.control
33.DeMMO1.SC9.top.041818,33.D1.wool.041818,33,D1,wool,Apr.2018,230,inert.control,inert.control,D1.inert.control,D1.inert.control
34.DeMMO1.SC10.top.041818,34.D1.sand.041818,34,D1,sand,Apr.2018,230,inert.control,inert.control,D1.inert.control,D1.inert.control
45.DeMMO1.7.top.041818,45.D1.calcite.041818,45,D1,calcite,Apr.2018,230,mineral,calcite,D1.calcite,D1.mineral
46.DeMMO1.8.top.041818,46.D1.gypsum.041818,46,D1,gypsum,Apr.2018,230,mineral,gypsum,D1.gypsum,D1.mineral
47.DeMMO1.9.top.041818,47.D1.muscovite.041818,47,D1,muscovite,Apr.2018,230,mineral,muscovite,D1.muscovite,D1.mineral
50.DeMMO1.12.top.041818,50.D1.sand.041818,50,D1,sand,Apr.2018,203,inert.control,inert.control,D1.inert.control,D1.inert.control
NU.18.DeMMO3.Steri.Dec2015,18.D3.fluid.Dec2015,18,D3,fluid,Dec.2015,,fluid,fluid,D3.fluid,D3.fluid
28.24790.071216,28.D3.fluid.071216,28,D3,fluid,Jul.2016,,fluid,fluid,D3.fluid,D3.fluid
NU.05.DeMMO3.Steri.2.092116,05.D3.fluid.092116,5,D3,fluid,Sep.2016,,fluid,fluid,D3.fluid,D3.fluid
6.DeMMO3.Steri.021517,6.D3.fluid.021517,6,D3,fluid,Feb.2017,,fluid,fluid,D3.fluid,D3.fluid
9.DeMMO3.Steri.051117,9.D3.fluid.051117,9,D3,fluid,May.2017,,fluid,fluid,D3.fluid,D3.fluid
3.DeMMO3.steri.083117,3.D3.fluid.083117,3,D3,fluid,Aug.2017,,fluid,fluid,D3.fluid,D3.fluid
3.DeMMO3.steri.112717,3.D3.fluid.112717,3,D3,fluid,Nov.2017,,fluid,fluid,D3.fluid,D3.fluid
14.DeMMO3.steri.041718,14.D3.fluid.041718,14,D3,fluid,Apr.2018,,fluid,fluid,D3.fluid,D3.fluid
NU.44.DeMMO3.D1.wool.Sep2016,44.D3.wool.Sep2016,44,D3,wool,Sep.2016,52,inert.control,inert.control,D3.inert.control,D3.inert.control
NU.45.DeMMO3.D1.sand.Sep2016,45.D3.sand.Sep2016,45,D3,sand,Sep.2016,52,inert.control,inert.control,D3.inert.control,D3.inert.control
25.DeMMO3.T7.top.051117,25.D3.pyrolusite.051117,25,D3,pyrolusite,May.2017,85,mineral,pyrolusite,D3.pyrolusite,D3.mineral
27.DeMMO3.T8.top.051117,27.D3.siderite.051117,27,D3,siderite,May.2017,85,mineral,siderite,D3.siderite,D3.mineral
29.DeMMO3.T9.top.051117,29.D3.pyrite.051117,29,D3,pyrite,May.2017,85,mineral,pyrite,D3.pyrite,D3.mineral
31.DeMMO3.T10.top.051117,31.D3.hematite.051117,31,D3,hematite,May.2017,85,mineral,hematite,D3.hematite,D3.mineral
33.DeMMO3.T11.top.051117,33.D3.magnetite.051117,33,D3,magnetite,May.2017,85,mineral,magnetite,D3.magnetite,D3.mineral
35.DeMMO3.T12.top.051117,35.D3.sand.051117,35,D3,sand,May.2017,85,inert.control,inert.control,D3.inert.control,D3.inert.control
39.DeMMO3.1.top.041718,39.D3.calcite.041718,39,D3,calcite,Apr.2018,230,mineral,calcite,D3.calcite,D3.mineral
40.DeMMO3.2.top.041718,40.D3.gypsum.041718,40,D3,gypsum,Apr.2018,230,mineral,gypsum,D3.gypsum,D3.mineral
41.DeMMO3.3.top.041718,41.D3.muscovite.041718,41,D3,muscovite,Apr.2018,,mineral,muscovite,D3.muscovite,D3.mineral
44.DeMMO3.6.top.041718,44.D3.sand.041718,44,D3,sand,Apr.2018,,inert.control,inert.control,D3.inert.control,D3.inert.control
51.DeMMO3.A.top.041718,51.D3.pyrolusite.041718,51,D3,pyrolusite,Apr.2018,,mineral,pyrolusite,D3.pyrolusite,D3.mineral
53.DeMMO3.C.top.041718,53.D3.pyrite.041718,53,D3,pyrite,Apr.2018,,mineral,pyrite,D3.pyrite,D3.mineral
54.DeMMO3.D.top.041718,54.D3.hematite.041718,54,D3,hematite,Apr.2018,,mineral,hematite,D3.hematite,D3.mineral
55.DeMMO3.E.top.041718,55.D3.magnetite.041718,55,D3,magnetite,Apr.2018,,mineral,magnetite,D3.magnetite,D3.mineral
56.DeMMO3.F.top.041718,56.D3.sand.041718,56,D3,sand,Apr.2018,,inert.control,inert.control,D3.inert.control,D3.inert.control
NU.20.DeMMO6.Steri.120815,20.D6.fluid.120815,20,D6,fluid,Dec.2015,,fluid,fluid,D6.fluid,D6.fluid
30.DuselB.050416,30.D6.fluid.050416,30,D6,fluid,May.2016,,fluid,fluid,D6.fluid,D6.fluid
NU.03.DeMMO6.Steri.2.092316,03.D6.fluid.092316,3,D6,fluid,Sep.2016,,fluid,fluid,D6.fluid,D6.fluid
NU.11.DeMMO6.Steri.2.120716,11.D6.fluid.120716,11,D6,fluid,Dec.2016,,fluid,fluid,D6.fluid,D6.fluid
5.DeMMO6.Steri.021415,5.D6.fluid.021415,5,D6,fluid,Feb.2015,,fluid,fluid,D6.fluid,D6.fluid
12.DeMMO6.Steri.2.051017,12.D6.fluid.051017,12,D6,fluid,May.2017,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.082917,6.D6.fluid.082917,6,D6,fluid,Aug.2017,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.112817,6.D6.fluid.112817,6,D6,fluid,Nov.2017,,fluid,fluid,D6.fluid,D6.fluid
17.DeMMO6.041618,17.D6.fluid.041618,17,D6,fluid,Apr.2018,,fluid,fluid,D6.fluid,D6.fluid
NU.36.DeMMO6.D1.wool.Sep2016,36.D6.wool.Sep2016,36,D6,wool,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.37.DeMMO6.D1.sand.Sep2016,37.D6.sand.Sep2016,37,D6,sand,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.38.DeMMO6.D1.3mmPyrex.Sep2016,38.D6.3mmPyrex.Sep2016,38,D6,3mmPyrex,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.39.DeMMO6.5mmPyrex.Sep2016,39.D6.5mmPyrex.Sep2016,39,D6,5mmPyrex,Sep.2016,52,inert.control,inert.control,D6.inert.control,D6.inert.control
13.DeMMO6.T1.top.051017,13.D6.pyrolusite.051017,13,D6,pyrolusite,May.2017,85,mineral,pyrolusite,D6.pyrolusite,D6.mineral
15.DeMMO6.T2.top.051017,15.D6.siderite.051017,15,D6,siderite,May.2017,85,mineral,siderite,D6.siderite,D6.mineral
17.DeMMO6.T3.top.051017,17.D6.pyrite.051017,17,D6,pyrite,May.2017,85,mineral,pyrite,D6.pyrite,D6.mineral
19.DeMMO6.T4.top.051017,19.D6.hematite.051017,19,D6,hematite,May.2017,85,mineral,hematite,D6.hematite,D6.mineral
21.DeMMO6.T5.top.051017,21.D6.magnetite.051017,21,D6,magnetite,May.2017,85,mineral,magnetite,D6.magnetite,D6.mineral
24.DeMMO6.T6.bottom.051017,24.D6.sand.051017,24,D6,sand,May.2017,85,inert.control,inert.control,D6.sand,D6.inert.control
34.4100L.DrillFluid.051716,34.4100L.DrillFluid.051716,34,ambient.control,DrillFluid,May.2016,,cont.control,cont.control,ambient.control,ambient.control
NU.48.800.D1.SlideBlank.Sep2016,48.800.SlideBlank.Sep2016,48,ambient.control,SlideBlank,Sep.2016,52,cont.control,cont.control,ambient.control,ambient.control
NU.54.4800.D1.SlideBlank.Sep2016,54.4800.SlideBlank.Sep2016,54,ambient.control,SlideBlank,Sep.2016,52,cont.control,cont.control,ambient.control,ambient.control
18.800.DitchFluid.041818,18.800.DitchFluid.041818,18,ambient.control,DitchFluid,Apr.2018,,cont.control,cont.control,ambient.control,ambient.control