"","experiment","Site.experiment","Site","Sample.Type","Sample.Date"
"15.D1.fluid.120715","fluid","D1.fluid","D1","fluid","Dec.2015"
"16.D1.fluid.050216","fluid","D1.fluid","D1","fluid","May.2016"
"18.D1.fluid.051816","fluid","D1.fluid","D1","fluid","May.2016"
"19.D1.fluid.071116","fluid","D1.fluid","D1","fluid","Jul.2016"
"01.D1.fluid.092016","fluid","D1.fluid","D1","fluid","Sep.2016"
"14.D1.fluid.120916","fluid","D1.fluid","D1","fluid","Dec.2016"
"7.D1.fluid.050917","fluid","D1.fluid","D1","fluid","May.2017"
"1.D1.fluid.083117","fluid","D1.fluid","D1","fluid","Aug.2017"
"1.D1.fluid.113017","fluid","D1.fluid","D1","fluid","Nov.2017"
"12.D1.fluid.041818","fluid","D1.fluid","D1","fluid","Apr.2018"
"24.D1.wool.Sep2016","inert.control","D1.inert.control","D1","wool","Sep.2016"
"25.D1.sand.Sep2016","inert.control","D1.inert.control","D1","sand","Sep.2016"
"1.D1.fluid.021517","fluid","D1.fluid","D1","fluid","Feb.2017"
"26.D1.3mmPyrex.Sep2016","inert.control","D1.inert.control","D1","3mmPyrex","Sep.2016"
"27.D1.5mmPyrex.Sep2016","inert.control","D1.inert.control","D1","5mmPyrex","Sep.2016"
"20.D1.pyrolusite.041818","mineral","D1.mineral","D1","pyrolusite","Apr.2018"
"22.D1.pyrite.041818","mineral","D1.mineral","D1","pyrite","Apr.2018"
"23.D1.hematite.041818","mineral","D1.mineral","D1","hematite","Apr.2018"
"24.D1.magnetite.041818","mineral","D1.mineral","D1","magnetite","Apr.2018"
"26.D1.pyrolusite.041818","mineral","D1.mineral","D1","pyrolusite","Apr.2018"
"27.D1.siderite.041818","mineral","D1.mineral","D1","siderite","Apr.2018"
"28.D1.pyrite.041818","mineral","D1.mineral","D1","pyrite","Apr.2018"
"29.D1.hematite.041818","mineral","D1.mineral","D1","hematite","Apr.2018"
"30.D1.magnetite.041818","mineral","D1.mineral","D1","magnetite","Apr.2018"
"31.D1.3mmPyrex.041818","inert.control","D1.inert.control","D1","3mmPyrex","Apr.2018"
"32.D1.5mmPyrex.041818","inert.control","D1.inert.control","D1","5mmPyrex","Apr.2018"
"33.D1.wool.041818","inert.control","D1.inert.control","D1","wool","Apr.2018"
"34.D1.sand.041818","inert.control","D1.inert.control","D1","sand","Apr.2018"
"45.D1.calcite.041818","mineral","D1.mineral","D1","calcite","Apr.2018"
"46.D1.gypsum.041818","mineral","D1.mineral","D1","gypsum","Apr.2018"
"47.D1.muscovite.041818","mineral","D1.mineral","D1","muscovite","Apr.2018"
"50.D1.sand.041818","inert.control","D1.inert.control","D1","sand","Apr.2018"
"18.D3.fluid.Dec2015","fluid","D3.fluid","D3","fluid","Dec.2015"
"14.D3.fluid.050516","fluid","D3.fluid","D3","fluid","May.2016"
"15.D3.DitchFluid.050516","cont.control","D3.cont.control","D3","DitchFluid","May.2016"
"28.D3.fluid.071216","fluid","D3.fluid","D3","fluid","Jul.2016"
"05.D3.fluid.092116","fluid","D3.fluid","D3","fluid","Sep.2016"
"12.D3.fluid.120816","fluid","D3.fluid","D3","fluid","Dec.2016"
"6.D3.fluid.021517","fluid","D3.fluid","D3","fluid","Feb.2017"
"9.D3.fluid.051117","fluid","D3.fluid","D3","fluid","May.2017"
"3.D3.fluid.083117","fluid","D3.fluid","D3","fluid","Aug.2017"
"3.D3.fluid.112717","fluid","D3.fluid","D3","fluid","Nov.2017"
"14.D3.fluid.041718","fluid","D3.fluid","D3","fluid","Apr.2018"
"44.D3.wool.Sep2016","inert.control","D3.inert.control","D3","wool","Sep.2016"
"45.D3.sand.Sep2016","inert.control","D3.inert.control","D3","sand","Sep.2016"
"46.D3.3mmPyrex.Sep2016","inert.control","D3.inert.control","D3","3mmPyrex","Sep.2016"
"47.D3.5mmPyrex.Sep2016","inert.control","D3.inert.control","D3","5mmPyrex","Sep.2016"
"25.D3.pyrolusite.051117","mineral","D3.mineral","D3","pyrolusite","May.2017"
"27.D3.siderite.051117","mineral","D3.mineral","D3","siderite","May.2017"
"29.D3.pyrite.051117","mineral","D3.mineral","D3","pyrite","May.2017"
"31.D3.hematite.051117","mineral","D3.mineral","D3","hematite","May.2017"
"33.D3.magnetite.051117","mineral","D3.mineral","D3","magnetite","May.2017"
"35.D3.sand.051117","inert.control","D3.inert.control","D3","sand","May.2017"
"8.D3.pyrolusite.083017","mineral","D3.mineral","D3","pyrolusite","Aug.2017"
"10.D3.siderite.083017","mineral","D3.mineral","D3","siderite","Aug.2017"
"12.D3.pyrite.083017","mineral","D3.mineral","D3","pyrite","Aug.2017"
"14.D3.hematite.083017","mineral","D3.mineral","D3","hematite","Aug.2017"
"16.D3.magnetite.083017","mineral","D3.mineral","D3","magnetite","Aug.2017"
"39.D3.calcite.041718","mineral","D3.mineral","D3","calcite","Apr.2018"
"40.D3.gypsum.041718","mineral","D3.mineral","D3","gypsum","Apr.2018"
"41.D3.muscovite.041718","mineral","D3.mineral","D3","muscovite","Apr.2018"
"44.D3.sand.041718","inert.control","D3.inert.control","D3","sand","Apr.2018"
"51.D3.pyrolusite.041718","mineral","D3.mineral","D3","pyrolusite","Apr.2018"
"53.D3.pyrite.041718","mineral","D3.mineral","D3","pyrite","Apr.2018"
"54.D3.hematite.041718","mineral","D3.mineral","D3","hematite","Apr.2018"
"55.D3.magnetite.041718","mineral","D3.mineral","D3","magnetite","Apr.2018"
"56.D3.sand.041718","inert.control","D3.inert.control","D3","sand","Apr.2018"
"20.D6.fluid.120815","fluid","D6.fluid","D6","fluid","Dec.2015"
"30.D6.fluid.050416","fluid","D6.fluid","D6","fluid","May.2016"
"32.D6.fluid.051916","fluid","D6.fluid","D6","fluid","May.2016"
"33.D6.fluid.071316","fluid","D6.fluid","D6","fluid","Jul.2016"
"03.D6.fluid.092316","fluid","D6.fluid","D6","fluid","Sep.2016"
"11.D6.fluid.120716","fluid","D6.fluid","D6","fluid","Dec.2016"
"5.D6.fluid.021415","fluid","D6.fluid","D6","fluid","Feb.2015"
"12.D6.fluid.051017","fluid","D6.fluid","D6","fluid","May.2017"
"6.D6.fluid.082917","fluid","D6.fluid","D6","fluid","Aug.2017"
"6.D6.fluid.112817","fluid","D6.fluid","D6","fluid","Nov.2017"
"17.D6.fluid.041618","fluid","D6.fluid","D6","fluid","Apr.2018"
"36.D6.wool.Sep2016","inert.control","D6.inert.control","D6","wool","Sep.2016"
"37.D6.sand.Sep2016","inert.control","D6.inert.control","D6","sand","Sep.2016"
"38.D6.3mmPyrex.Sep2016","inert.control","D6.inert.control","D6","3mmPyrex","Sep.2016"
"39.D6.5mmPyrex.Sep2016","inert.control","D6.inert.control","D6","5mmPyrex","Sep.2016"
"13.D6.pyrolusite.051017","mineral","D6.mineral","D6","pyrolusite","May.2017"
"15.D6.siderite.051017","mineral","D6.mineral","D6","siderite","May.2017"
"17.D6.pyrite.051017","mineral","D6.mineral","D6","pyrite","May.2017"
"19.D6.hematite.051017","mineral","D6.mineral","D6","hematite","May.2017"
"21.D6.magnetite.051017","mineral","D6.mineral","D6","magnetite","May.2017"
"24.D6.sand.051017","inert.control","D6.inert.control","D6","sand","May.2017"
"34.4100L.DrillFluid.051716","fluid","4100L.fluid","4100L","DrillFluid","May.2016"
"48.800.SlideBlank.Sep2016","cont.control","800.cont.control","800","SlideBlank","Sep.2016"
"54.4800.SlideBlank.Sep2016","cont.control","4800.cont.control","4800","SlideBlank","Sep.2016"
"18.800.DitchFluid.041818","cont.control","800.cont.control","800","DitchFluid","Apr.2018"
