Site,Tube,Date Deployed,Date Collected,Mineral,Experiment,Type,Duration.days,Cell.density.sq.mm,cells.counted
DeMMO 1,7 Large,8/31/17,18-Apr-18,calcite,mineral,Exp,231,447.0655985,29
DeMMO 1,7 Large,8/31/17,18-Apr-18,calcite,mineral,Rep,231,2016.09589,192
DeMMO 1,7 Large,8/31/17,18-Apr-18,calcite,control,Internal Control,231,875.39681,81
DeMMO 1,9 Large,8/31/17,18-Apr-18,muscovite,mineral,Exp,231,6939.881357,449
DeMMO 1,9 Large,8/31/17,18-Apr-18,muscovite,mineral,Rep,231,5523.557849,298
DeMMO 1,9 Large,8/31/17,18-Apr-18,muscovite,control,Internal Control,231,937.5445919,75
DeMMO 1,12 Large,8/31/17,18-Apr-18,control sand,Control,Control,231,48192.76185,1559
DeMMO 1,12 Large,8/31/17,18-Apr-18,control sand,control,Control Rep,231,NA,NA
DeMMO 1,SC 1,8/31/17,18-Apr-18,pyrolusite,mineral,exp,231,52349.6786,4155
DeMMO 1,SC 1,8/31/17,18-Apr-18,pyrolusite,control,Internal Control,231,21472.98779,1684
DeMMO 1,SC 2,8/31/17,18-Apr-18,siderite,mineral,Exp,231,10737.033,472
DeMMO 1,SC 2,8/31/17,18-Apr-18,siderite,control,Internal Control,231,9975.474458,760
DeMMO 1,SC 3,8/31/17,18-Apr-18,pyrite,mineral,exp,231,3649.210184,323
DeMMO 1,SC 3,8/31/17,18-Apr-18,pyrite,control,Internal Control,231,12075.57434,828
DeMMO 1,SC 4,8/31/17,18-Apr-18,hematite,mineral,exp,231,16096.48157,1440
DeMMO 1,SC 4,8/31/17,18-Apr-18,hematite,control,Internal Control,231,9141.016013,839
DeMMO 1,SC 5,8/31/17,18-Apr-18,magnetite,mineral,exp,231,3220.357189,283
DeMMO 1,SC 5,8/31/17,18-Apr-18,magnetite,control,Internal Control,231,67669.88521,2320
DeMMO 1,SC 10,8/31/17,18-Apr-18,control sand,Control,Control,231,23292.01692,1952
DeMMO 1,SC 10,8/31/17,18-Apr-18,control sand,control,Control Rep,231,69828.3212,2660
DeMMO 1,A,11/30/17,18-Apr-18,Pyrolusite,mineral,Exp,201,3237.371575,210
DeMMO 1,A,11/30/17,18-Apr-18,pyrolusite,control,Internal Control,201,1920.727219,128
DeMMO 1,C,11/30/17,18-Apr-18,Pyrite,mineral,Exp,201,10082.10005,327
DeMMO 1,C,11/30/17,18-Apr-18,pyrite,control,Internal Control,201,1978.151447,151
DeMMO 1,D,11/30/17,18-Apr-18,Hematite,mineral,Exp,201,1125.372024,73
DeMMO 1,D,11/30/17,18-Apr-18,hematite,control,Internal Control,201,5814.276475,284
DeMMO 1,E,11/30/17,18-Apr-18,Magnetite,mineral,Exp,201,940.3793624,61
DeMMO 1,E,11/30/17,18-Apr-18,magnetite,control,Internal Control,201,2514.593284,182
DeMMO 1,F,11/30/17,18-Apr-18,sand,Control,Control,201,2675.127236,214
DeMMO 1,F,11/30/17,18-Apr-18,sand,control,control rep,201,17434.71307,564
Demmo 3,7,2/15/17,11-May-17,Pyrolusite,mineral,Exp,85,9804.611057,318
Demmo 3,7,2/15/17,11-May-17,Pyrolusite,mineral,Rep,85,4087.334231,119
Demmo 3,7,2/15/17,11-May-17,pyrolusite,control,Internal Control,85,NA,NA
Demmo 3,8,2/15/17,11-May-17,Siderite,mineral,Exp,85,1526.189457,99
Demmo 3,8,2/15/17,11-May-17,Siderite,mineral,Rep,85,902.6482656,73
Demmo 3,8,2/15/17,11-May-17,siderite,control,Internal Control,85,1437.43645,93
Demmo 3,9,2/15/17,11-May-17,Pyrite,mineral,Exp,85,6690.567922,434
Demmo 3,9,2/15/17,11-May-17,Pyrite,mineral,Rep,85,3360.700016,218
Demmo 3,9,2/15/17,11-May-17,pyrite,control,Internal Control,85,2004.087166,130
Demmo 3,10,2/15/17,11-May-17,Hematite,mineral,Exp,85,2004.087166,130
Demmo 3,10,2/15/17,11-May-17,Hematite,mineral,Rep,85,421.5356159,30
Demmo 3,10,2/15/17,11-May-17,hematite,control,Internal Control,85,NA,NA
Demmo 3,11,2/15/17,11-May-17,Magnetite,mineral,Exp,85,1680.350008,109
Demmo 3,11,2/15/17,11-May-17,Magnetite,mineral,Rep,85,16723.723,541
Demmo 3,11,2/15/17,11-May-17,magnetite,control,Internal Control,85,1298.329697,84
Demmo 3,12,2/15/17,11-May-17,control sand,Control,Control,85,2225.708052,144
Demmo 3,12,2/15/17,11-May-17,control sand,control,Control Rep,85,1360.154921,88
DeMMO 3,1 Large,8/30/17,17-Apr-18,calcite,mineral,Exp,231,2040.232381,132
DeMMO 3,1 Large,8/30/17,17-Apr-18,calcite,mineral,Rep,231,1364.518918,97
DeMMO 3,1 Large,8/30/17,17-Apr-18,calcite,control,Internal Control,231,1514.71798,98
DeMMO 3,3 Large,8/30/17,17-Apr-18,muscovite,mineral,Exp,231,3446.75622,223
DeMMO 3,3 Large,8/30/17,17-Apr-18,muscovite,mineral,Rep,231,3622.772953,235
DeMMO 3,3 Large,8/30/17,17-Apr-18,muscovite,control,Internal Control,231,868.4971896,59
DeMMO 3,6 Large,8/30/17,17-Apr-18,control sand,Control,Control,231,NA,NA
DeMMO 3,6 Large,8/30/17,17-Apr-18,control sand,control,Control Rep,231,1112.854026,72
DeMMO 3,A,11/27/17,17-Apr-18,pyrolusite,mineral,exp,199,4008.413685,894
DeMMO 3,A,11/27/17,17-Apr-18,pyrolusite,control,Internal Control,199,NA,NA
DeMMO 3,C,11/27/17,17-Apr-18,pyrite,mineral,exp,199,2313.269941,108
DeMMO 3,C,11/27/17,17-Apr-18,pyrite,control,Internal Control,199,940.3793624,61
DeMMO 3,D,11/27/17,17-Apr-18,hematite,mineral,exp,199,4131.502772,268
DeMMO 3,D,11/27/17,17-Apr-18,hematite,control,Internal Control,199,2859.416595,185
DeMMO 3,E,11/27/17,17-Apr-18,magnetite,mineral,exp,199,4652.348081,301
DeMMO 3,E,11/27/17,17-Apr-18,magnetite,control,Internal Control,199,NA,NA
DeMMO 3,F,11/27/17,17-Apr-18,control sand,Control,Control,199,7388.114228,478
DeMMO 3,F,11/27/17,17-Apr-18,control sand,control,Control Rep,199,2127.415748,132
Demmo 6,1,2/14/17,10-May-17,Pyrolusite,mineral,Exp,85,20811.67441,675
Demmo 6,1,2/14/17,10-May-17,Pyrolusite,mineral,Rep,85,47882.2672,1553
Demmo 6,1,2/14/17,10-May-17,pyrolusite,control,internal Control,85,1165.993061,77
Demmo 6,2,2/14/17,10-May-17,Siderite,mineral,Exp,85,1834.510559,119
Demmo 6,2,2/14/17,10-May-17,Siderite,mineral,Rep,85,10881.23937,352
Demmo 6,2,2/14/17,10-May-17,siderite,control,internal Control,85,15.41605512,1
Demmo 6,3,2/14/17,10-May-17,Pyrite,mineral,Exp,85,10452.08537,678
Demmo 6,3,2/14/17,10-May-17,Pyrite,mineral,Rep,85,27656.40289,897
Demmo 6,3,2/14/17,10-May-17,pyrite,control,internal Control,85,NA,NA
Demmo 6,4,2/14/17,10-May-17,Hematite,mineral,Exp,85,18314.27348,594
Demmo 6,4,2/14/17,10-May-17,Hematite,mineral,Rep,85,5565.195899,361
Demmo 6,4,2/14/17,10-May-17,hematite,control,internal Control,85,NA,NA
Demmo 6,5,2/14/17,10-May-17,Magnetite,mineral,Exp,85,12517.83676,406
Demmo 6,5,2/14/17,10-May-17,Magnetite,mineral,Rep,85,4439.823875,288
Demmo 6,5,2/14/17,10-May-17,magnetite,control,internal Control,85,0,0
DeMMO 6,6,2/14/17,10-May-17,control sand,Control,Control,85,355.4950361,23
DeMMO 6,6,2/14/17,10-May-17,control sand,control,Control Rep,85,5133.546355,333