Site,Date,methane,hydrogen,CO,nitrate,ammonia,sulfide,sulfate,ferrous_iron,DOC
D1,12/7/15,,,,,,,310,,
D1,5/2/16,,,,0.5,0.06,8,355,2.28,
D1,5/18/16,1.28105E-05,2.52152E-07,1.30252E-05,0.2,0.08,0,340,2.6,0.486
D1,7/11/16,8.22354E-06,3.55142E-08,1.07332E-06,0.2,0.09,0,312,2.12,0.42
D1,9/20/16,3.23533E-06,8.36368E-09,2.79634E-06,0.3,0.08,0,302,2.49,0.45
D1,12/9/16,,,,0.2,0.07,0,297,2.27,0.4
D1,2/15/17,7.26884E-06,2.65338E-07,5.78238E-06,0.3,0.06,0,325,2.33,0.426
D1,5/9/17,,,,0.1,0.05,2,386,1.6,0.403
D1,8/31/17,5.07248E-06,3.3286E-08,4.82772E-06,0.3,0.05,2,323,1.91,0.435
D1,11/30/17,9.90958E-06,1.22746E-07,5.5292E-06,0.3,0.07,1,330,4.06,0.39
D1,4/18/18,,,,0.3,0.06,6,393,2.32,0.468
D1,Sep-18,,,,0.3,0.08,0,360,2.68,0.42
D3,12/9/15,,,,,,,1640,,
D3,5/5/16,,,,0.5,0.27,14,1780,2.32,0.252
D3,5/5/16,,,,0.3,0.22,0,,2.45,0.259
D3,5/16/16,2.30749E-05,7.46883E-08,2.19358E-06,0.8,0.24,7,1880,1.8,0.344
D3,7/12/16,0.000109792,1.23405E-07,1.12431E-06,0.2,0.21,0,1610,2.83,0.257
D3,9/21/16,9.48003E-05,4.62533E-07,1.6262E-05,0.3,0.31,8,1590,2.71,0.226
D3,12/8/16,6.50964E-05,2.36228E-07,5.40501E-06,0.2,0.28,0,1540,2.92,0.259
D3,2/16/17,9.05118E-05,1.28657E-07,4.08242E-06,0.1,0.2,14,1610,2.58,0.205
D3,5/11/17,1.60721E-05,7.47574E-08,1.33995E-06,0.3,0.21,21,1610,2.3,0.206
D3,8/30/17,8.37097E-05,1.04379E-06,3.33458E-05,0.3,0.24,19,1630,2.72,0.288
D3,11/27/17,6.712E-05,5.13895E-09,1.74025E-06,0.3,0.21,16,1660,2.8,0.181
D3,4/17/18,,,,0.3,0.21,5,1800,2.86,0.25
D3,Sep-18,,,,0.2,0.17,17,1740,1.8,0.244
D6,12/8/15,,,,,,,4190,,
D6,5/4/16,0.010323206,5.07196E-07,1.79091E-06,0.3,0.12,61,3710,0.18,
D6,5/19/16,0.006044749,2.76139E-07,2.1883E-06,0.3,0.13,86,4290,0.08,0.314
D6,7/13/16,0.006794961,5.2628E-07,2.96337E-06,0.2,0.13,98,4180,0.09,0.386
D6,9/22/16,0.001275262,9.1604E-08,0,0.3,0.06,73,4290,2.03,0.158
D6,12/7/16,0.002791606,2.01749E-07,1.7655E-06,0.4,0.08,55,4370,1.23,0.136
D6,2/14/17,0.005952357,4.05933E-07,0,0.3,0.08,74,4280,1.43,0.136
D6,5/11/17,,,,0.3,0.06,122,4260,1.74,0.186
D6,8/29/17,0.005621274,1.01906E-07,4.96538E-06,0.3,0.03,88,4400,1.51,0.288
D6,11/28/17,0.001527482,3.42965E-07,6.52427E-06,0.3,0.01,20,4220,2.93,0.319
D6,4/16/18,,,,0.3,0,13,4110,1.47,0.286
D6,Sep-18,,,,0.3,0.12,38,4380,0.88,0.252